,from_stop_id,to_stop_id,start_line,end_line
0,101,101,1,1
1,103,103,1,1
2,104,104,1,1
3,106,106,1,1
4,107,107,1,1
5,108,108,1,1
6,109,109,1,1
7,110,110,1,1
8,111,111,1,1
9,112,112,1,1
10,112,A09,1,A1
11,112,A09,1,A2
12,112,A09,1,C
13,113,113,1,1
14,114,114,1,1
15,115,115,1,1
16,116,116,1,1
17,117,117,1,1
18,118,118,1,1
19,119,119,1,1
20,120,120,1,1
21,120,120,1,2
22,120,120,1,3
23,120,120,2,1
24,120,120,2,2
25,120,120,2,3
26,120,120,3,1
27,120,120,3,2
28,120,120,3,3
29,121,121,1,1
30,122,122,1,1
31,123,123,1,1
32,123,123,1,2
33,123,123,1,3
34,123,123,2,1
35,123,123,2,2
36,123,123,2,3
37,123,123,3,1
38,123,123,3,2
39,123,123,3,3
40,124,124,1,1
41,125,125,1,1
42,125,A24,1,A1
43,125,A24,1,A2
44,125,A24,1,B
45,125,A24,1,C
46,125,A24,1,D
47,126,126,1,1
48,127,127,1,1
49,127,127,1,2
50,127,127,1,3
51,127,127,2,1
52,127,127,2,2
53,127,127,2,3
54,127,127,3,1
55,127,127,3,2
56,127,127,3,3
57,127,725,1,7
58,127,725,1,7X
59,127,725,2,7
60,127,725,2,7X
61,127,725,3,7
62,127,725,3,7X
63,127,902,1,GS
64,127,902,2,GS
65,127,902,3,GS
66,127,A27,1,A1
67,127,A27,1,A2
68,127,A27,1,C
69,127,A27,1,E
70,127,A27,2,A1
71,127,A27,2,A2
72,127,A27,2,C
73,127,A27,2,E
74,127,A27,3,A1
75,127,A27,3,A2
76,127,A27,3,C
77,127,A27,3,E
78,127,R16,1,N
79,127,R16,1,Q
80,127,R16,1,R
81,127,R16,2,N
82,127,R16,2,Q
83,127,R16,2,R
84,127,R16,3,N
85,127,R16,3,Q
86,127,R16,3,R
87,128,128,1,1
88,128,128,1,2
89,128,128,1,3
90,128,128,2,1
91,128,128,2,2
92,128,128,2,3
93,128,128,3,1
94,128,128,3,2
95,128,128,3,3
96,129,129,1,1
97,130,130,1,1
98,131,131,1,1
99,132,132,1,1
100,132,132,1,2
101,132,132,1,3
102,132,132,2,1
103,132,132,2,2
104,132,132,2,3
105,132,132,3,1
106,132,132,3,2
107,132,132,3,3
108,132,D19,1,F
109,132,D19,1,M
110,132,D19,2,F
111,132,D19,2,M
112,132,D19,3,F
113,132,D19,3,M
114,133,133,1,1
115,134,134,1,1
116,135,135,1,1
117,136,136,1,1
118,137,137,1,1
119,137,137,1,2
120,137,137,1,3
121,137,137,2,1
122,137,137,2,2
123,137,137,2,3
124,137,137,3,1
125,137,137,3,2
126,137,137,3,3
127,138,138,1,1
128,139,139,1,1
129,140,140,1,1
130,140,R27,1,R
131,201,201,2,2
132,204,204,2,2
133,205,205,2,2
134,206,206,2,2
135,207,207,2,2
136,208,208,2,2
137,209,209,2,2
138,210,210,2,2
139,211,211,2,2
140,212,212,2,2
141,213,213,2,2
142,213,213,2,5
143,213,213,5,2
144,213,213,5,5
145,214,214,2,2
146,214,214,2,5
147,214,214,5,2
148,214,214,5,5
149,215,215,2,2
150,215,215,2,5
